session_id,customer_id,timestamp_start,timestamp_end,messages,agent_id,resolution_status,related_log_id,chat_reason
CHAT_00001,CUST_00282,2025-12-25 06:00:00,2025-12-25 06:14:00,"[{""speaker"": ""customer"", ""timestamp"": ""2025-12-25T06:00:00"", ""message"": ""Can you check if there's an outage in my area?""}, {""speaker"": ""agent"", ""timestamp"": ""2025-12-25T06:02:00"", ""message"": ""I can see multiple connection drops on 2025-12-25. This isn't normal.""}, {""speaker"": ""customer"", ""timestamp"": ""2025-12-25T06:04:00"", ""message"": ""I understand, is there anything we can do about this?""}, {""speaker"": ""agent"", ""timestamp"": ""2025-12-25T06:06:00"", ""message"": ""Let me escalate this to our technical team.""}, {""speaker"": ""customer"", ""timestamp"": ""2025-12-25T06:08:00"", ""message"": ""Hello, I hope you can help me with a small issue""}, {""speaker"": ""agent"", ""timestamp"": ""2025-12-25T06:10:00"", ""message"": ""I understand your frustration. We'll get this resolved.""}, {""speaker"": ""customer"", ""timestamp"": ""2025-12-25T06:12:00"", ""message"": ""Thank you for your time, I appreciate the help""}]",AGENT_007,resolved,LOG_0009764,technical_issue
CHAT_00002,CUST_00282,2025-10-12 00:00:00,2025-10-12 00:02:00,"[{""speaker"": ""customer"", ""timestamp"": ""2025-10-12T00:04:00"", ""message"": ""That makes sense, thanks for explaining""}]",AGENT_016,resolved,,general_question
CHAT_00003,CUST_00282,2026-02-14 02:00:00,2026-02-14 02:08:00,"[{""speaker"": ""customer"", ""timestamp"": ""2026-02-14T02:00:00"", ""message"": ""Can you check if there's an outage in my area?""}, {""speaker"": ""agent"", ""timestamp"": ""2026-02-14T02:02:00"", ""message"": ""I see the problem in our system. We'll get a technician to look at this.""}, {""speaker"": ""customer"", ""timestamp"": ""2026-02-14T02:04:00"", ""message"": ""Thank you for your time, I appreciate the help""}, {""speaker"": ""agent"", ""timestamp"": ""2026-02-14T02:06:00"", ""message"": ""Let me check your account details.""}]",AGENT_008,resolved,LOG_0009769,technical_issue
CHAT_00004,CUST_00282,2026-01-12 00:00:00,2026-01-12 00:02:00,"[{""speaker"": ""agent"", ""timestamp"": ""2026-01-12T00:06:00"", ""message"": ""I can offer you a discount on your next bill as compensation.""}]",AGENT_001,escalated,,service_inquiry
CHAT_00005,CUST_00282,2025-09-29 00:00:00,2025-09-29 00:06:00,"[{""speaker"": ""customer"", ""timestamp"": ""2025-09-29T00:00:00"", ""message"": ""I understand, is there anything we can do about this?""}, {""speaker"": ""agent"", ""timestamp"": ""2025-09-29T00:02:00"", ""message"": ""Let me check your account details.""}, {""speaker"": ""customer"", ""timestamp"": ""2025-09-29T00:04:00"", ""message"": ""What's the status of my support ticket?""}]",AGENT_007,escalated,,service_inquiry
CHAT_00006,CUST_00628,2025-12-10 07:00:00,2025-12-10 07:12:00,"[{""speaker"": ""customer"", ""timestamp"": ""2025-12-10T07:00:00"", ""message"": ""The connection keeps dropping, this is unacceptable""}, {""speaker"": ""agent"", ""timestamp"": ""2025-12-10T07:02:00"", ""message"": ""I can see multiple connection drops on 2025-12-10. This isn't normal.""}, {""speaker"": ""customer"", ""timestamp"": ""2025-12-10T07:04:00"", ""message"": ""I'm paying for gigabit but only getting {speed} Mbps!""}, {""speaker"": ""agent"", ""timestamp"": ""2025-12-10T07:06:00"", ""message"": ""Is there anything else I can help with today?""}, {""speaker"": ""customer"", ""timestamp"": ""2025-12-10T07:08:00"", ""message"": ""Your service is terrible, the speed is way below what you promised""}, {""speaker"": ""agent"", ""timestamp"": ""2025-12-10T07:10:00"", ""message"": ""Let me check your account details.""}]",AGENT_014,unresolved,LOG_0022158,technical_issue
CHAT_00007,CUST_00628,2025-12-23 00:00:00,2025-12-23 00:02:00,"[{""speaker"": ""agent"", ""timestamp"": ""2025-12-23T00:06:00"", ""message"": ""Let me escalate this to our technical team.""}]",AGENT_009,resolved,,general_question
CHAT_00008,CUST_00628,2026-01-12 00:00:00,2026-01-12 00:12:00,"[{""speaker"": ""customer"", ""timestamp"": ""2026-01-12T00:00:00"", ""message"": ""This is the third time this month my internet has gone out!""}, {""speaker"": ""agent"", ""timestamp"": ""2026-01-12T00:02:00"", ""message"": ""I'm sorry to hear about your connection issues. Let me check your connection logs.""}, {""speaker"": ""customer"", ""timestamp"": ""2026-01-12T00:04:00"", ""message"": ""I can't work from home with this unstable connection""}, {""speaker"": ""agent"", ""timestamp"": ""2026-01-12T00:06:00"", ""message"": ""Let me check your account details.""}, {""speaker"": ""customer"", ""timestamp"": ""2026-01-12T00:08:00"", ""message"": ""Your service is terrible, the speed is way below what you promised""}, {""speaker"": ""agent"", ""timestamp"": ""2026-01-12T00:10:00"", ""message"": ""Let me check your account details.""}]",AGENT_016,resolved,LOG_0022152,technical_issue
CHAT_00009,CUST_00628,2025-12-31 00:00:00,2025-12-31 00:02:00,"[{""speaker"": ""customer"", ""timestamp"": ""2025-12-31T00:04:00"", ""message"": ""Hello, I hope you can help me with a small issue""}]",AGENT_016,escalated,,general_question
CHAT_00010,CUST_00628,2026-01-30 00:00:00,2026-01-30 00:12:00,"[{""speaker"": ""customer"", ""timestamp"": ""2026-01-30T00:00:00"", ""message"": ""I understand, is there anything we can do about this?""}, {""speaker"": ""agent"", ""timestamp"": ""2026-01-30T00:02:00"", ""message"": ""Let me escalate this to our technical team.""}, {""speaker"": ""customer"", ""timestamp"": ""2026-01-30T00:04:00"", ""message"": ""I understand, is there anything we can do about this?""}, {""speaker"": ""agent"", ""timestamp"": ""2026-01-30T00:06:00"", ""message"": ""I understand your frustration. We'll get this resolved.""}, {""speaker"": ""customer"", ""timestamp"": ""2026-01-30T00:08:00"", ""message"": ""That makes sense, thanks for explaining""}, {""speaker"": ""agent"", ""timestamp"": ""2026-01-30T00:10:00"", ""message"": ""Is there anything else I can help with today?""}]",AGENT_008,resolved,,billing
