log_id,customer_id,timestamp,speed_measured_mbps,packet_loss_percent,latency_ms,downtime_minutes,connection_drops_count,issue_detected
LOG_0000001,CUST_00001,2026-01-26,874.2,0.88,31.2,0,0,none
LOG_0000002,CUST_00001,2026-02-14,861.3,1.77,37.1,0,0,none
LOG_0000003,CUST_00001,2026-01-12,469.7,0.3,87.8,0,0,slow_speed
LOG_0000004,CUST_00001,2026-02-23,984.8,18.26,17.5,0,22,connection_drops
LOG_0000005,CUST_00001,2026-01-07,996.1,13.25,132.0,0,0,packet_loss
LOG_0000006,CUST_00001,2026-02-06,479.2,0.05,88.1,0,0,slow_speed
LOG_0000007,CUST_00001,2026-01-28,890.0,1.57,13.2,0,0,none
LOG_0000008,CUST_00001,2025-12-30,883.4,25.91,80.5,0,0,packet_loss
LOG_0000009,CUST_00001,2026-02-25,949.0,25.47,91.6,0,0,packet_loss
LOG_0000010,CUST_00001,2025-12-25,910.0,1.96,26.1,0,0,none
LOG_0000011,CUST_00001,2026-02-14,981.6,0.52,27.4,0,0,none
LOG_0000012,CUST_00001,2026-02-24,866.3,22.12,106.0,0,0,packet_loss
LOG_0000013,CUST_00001,2026-01-10,984.9,0.38,11.3,0,0,none
LOG_0000014,CUST_00001,2025-12-24,988.8,1.08,31.6,0,0,none
LOG_0000015,CUST_00001,2025-12-05,879.6,0.86,38.5,0,0,none
LOG_0000016,CUST_00001,2025-12-11,897.1,5.86,161.9,0,0,high_latency
LOG_0000017,CUST_00001,2026-01-08,954.6,1.11,15.8,0,0,none
LOG_0000018,CUST_00001,2026-01-11,951.6,3.0,209.6,0,0,high_latency
LOG_0000019,CUST_00001,2026-01-23,881.5,18.84,120.8,0,0,packet_loss
LOG_0000020,CUST_00001,2025-12-25,0.0,1.8,33.9,51,28,outage
LOG_0000021,CUST_00001,2025-12-25,949.6,1.24,12.8,0,0,none
LOG_0000022,CUST_00001,2026-01-29,950.9,6.33,149.0,0,0,high_latency
LOG_0000023,CUST_00001,2026-02-19,918.3,1.77,27.3,0,0,none
LOG_0000024,CUST_00001,2026-01-10,924.2,25.02,129.3,0,0,packet_loss
LOG_0000025,CUST_00001,2026-02-15,966.8,0.44,34.1,0,0,none
LOG_0000026,CUST_00001,2025-12-31,857.5,0.5,35.5,0,0,none
LOG_0000027,CUST_00001,2025-12-31,950.1,1.98,27.9,0,0,none
LOG_0000028,CUST_00001,2026-01-03,941.9,1.44,25.1,0,0,none
LOG_0000029,CUST_00001,2025-12-20,916.9,0.32,35.8,0,0,none
LOG_0000030,CUST_00001,2026-01-28,976.0,0.55,33.3,0,0,none
LOG_0000031,CUST_00001,2026-01-29,891.2,6.78,163.9,0,0,high_latency
LOG_0000032,CUST_00001,2026-02-11,872.6,18.3,89.8,0,0,packet_loss
LOG_0000033,CUST_00001,2025-12-31,912.4,0.41,22.6,0,0,none
LOG_0000034,CUST_00001,2025-12-16,991.9,0.04,36.4,0,0,none
LOG_0000035,CUST_00001,2025-12-29,850.9,0.7,32.6,0,0,none
LOG_0000036,CUST_00001,2026-01-06,930.7,1.47,34.0,0,0,none
LOG_0000037,CUST_00001,2025-12-28,403.7,0.87,64.3,0,0,slow_speed
LOG_0000038,CUST_00001,2026-02-07,976.1,1.84,39.4,0,0,none
LOG_0000039,CUST_00001,2026-01-09,938.8,1.33,12.5,0,0,none
LOG_0000040,CUST_00001,2025-12-31,877.3,0.52,19.8,0,0,none
LOG_0000041,CUST_00002,2026-01-11,44.6,1.9,22.6,0,0,none
LOG_0000042,CUST_00002,2025-12-30,42.6,1.08,40.0,0,0,none
LOG_0000043,CUST_00002,2025-12-07,13.7,1.91,90.4,0,0,slow_speed
LOG_0000044,CUST_00002,2025-12-11,43.6,0.25,30.1,0,0,none
LOG_0000045,CUST_00002,2026-02-01,46.0,0.51,21.1,0,0,none
LOG_0000046,CUST_00002,2026-02-14,48.3,0.33,19.3,0,0,none
LOG_0000047,CUST_00002,2026-01-20,46.8,1.82,21.3,0,0,none
LOG_0000048,CUST_00002,2026-02-03,43.1,8.95,254.5,0,0,high_latency
LOG_0000049,CUST_00002,2025-12-14,48.5,11.43,27.0,0,22,connection_drops
LOG_0000050,CUST_00002,2026-01-12,43.0,1.3,10.4,0,0,none
LOG_0000051,CUST_00002,2025-12-28,43.3,1.92,29.1,0,0,none
LOG_0000052,CUST_00002,2026-02-09,45.8,1.47,39.0,0,0,none
LOG_0000053,CUST_00002,2025-12-22,48.3,0.93,34.8,0,0,none
LOG_0000054,CUST_00002,2026-01-18,48.9,1.66,12.6,0,0,none
LOG_0000055,CUST_00002,2026-01-28,48.1,1.14,30.0,0,0,none
LOG_0000056,CUST_00002,2025-12-27,48.9,0.36,16.4,0,0,none
LOG_0000057,CUST_00002,2026-01-16,44.6,1.19,36.4,0,0,none
LOG_0000058,CUST_00002,2025-12-24,49.6,0.17,31.6,0,0,none
LOG_0000059,CUST_00002,2026-01-29,47.7,1.29,24.7,0,0,none
LOG_0000060,CUST_00002,2026-02-17,44.7,0.81,17.3,0,0,none
LOG_0000061,CUST_00002,2026-01-12,46.0,1.06,22.8,0,0,none
LOG_0000062,CUST_00002,2026-01-17,45.1,0.91,19.2,0,0,none
LOG_0000063,CUST_00002,2026-02-04,44.9,1.49,38.5,0,0,none
LOG_0000064,CUST_00002,2026-02-04,44.1,0.97,31.7,0,0,none
LOG_0000065,CUST_00002,2025-12-23,47.0,1.96,35.0,0,0,none
LOG_0000066,CUST_00002,2026-01-13,43.8,0.03,26.0,0,0,none
LOG_0000067,CUST_00002,2026-02-22,46.7,1.39,13.8,0,0,none
LOG_0000068,CUST_00002,2025-12-28,43.3,0.02,18.5,0,0,none
LOG_0000069,CUST_00002,2026-01-16,43.9,0.1,38.2,0,0,none
LOG_0000070,CUST_00002,2026-02-20,0.0,0.15,28.9,68,46,outage
LOG_0000071,CUST_00003,2026-01-21,862.8,0.5,26.7,0,0,none
LOG_0000072,CUST_00003,2025-12-14,968.6,0.45,25.7,0,0,none
LOG_0000073,CUST_00003,2026-01-03,894.6,1.18,22.9,0,0,none
LOG_0000074,CUST_00003,2026-02-21,941.4,1.48,38.4,0,0,none
LOG_0000075,CUST_00003,2026-02-01,889.7,0.16,17.2,0,0,none
LOG_0000076,CUST_00003,2026-02-08,850.4,0.9,27.8,0,0,none
LOG_0000077,CUST_00003,2026-01-30,270.0,0.57,55.9,0,0,slow_speed
LOG_0000078,CUST_00003,2025-12-10,938.5,14.5,73.4,0,0,packet_loss
LOG_0000079,CUST_00003,2026-01-25,974.0,0.14,15.0,0,0,none
LOG_0000080,CUST_00003,2025-12-18,988.2,0.88,24.1,0,0,none
LOG_0000081,CUST_00003,2026-01-08,991.4,18.34,24.8,0,6,connection_drops
LOG_0000082,CUST_00003,2026-01-18,940.6,0.05,16.9,0,0,none
LOG_0000083,CUST_00003,2025-12-17,938.1,0.04,32.9,0,0,none
LOG_0000084,CUST_00003,2025-12-17,856.0,1.51,24.1,0,0,none
LOG_0000085,CUST_00003,2026-01-24,877.2,1.17,29.0,0,0,none
LOG_0000086,CUST_00003,2026-02-17,920.5,9.95,19.6,0,10,connection_drops
LOG_0000087,CUST_00003,2025-12-02,924.3,1.33,22.0,0,0,none
LOG_0000088,CUST_00003,2026-02-24,918.2,0.63,19.7,0,0,none
LOG_0000089,CUST_00003,2026-01-08,979.7,1.65,10.0,0,0,none
LOG_0000090,CUST_00003,2025-12-31,912.0,0.38,20.9,0,0,none
LOG_0000091,CUST_00003,2025-12-10,286.4,0.1,92.9,0,0,slow_speed
LOG_0000092,CUST_00003,2025-12-28,868.2,1.95,28.3,0,0,none
LOG_0000093,CUST_00003,2026-02-08,896.6,0.03,22.2,0,0,none
LOG_0000094,CUST_00003,2026-02-14,919.2,0.23,35.0,0,0,none
LOG_0000095,CUST_00003,2026-01-22,926.3,0.55,35.0,0,0,none
LOG_0000096,CUST_00003,2026-01-28,918.5,0.29,15.7,0,0,none
LOG_0000097,CUST_00003,2026-02-11,979.6,0.55,33.7,0,0,none
LOG_0000098,CUST_00003,2025-12-26,890.1,0.01,31.8,0,0,none
LOG_0000099,CUST_00003,2025-12-16,999.8,0.98,14.5,0,0,none
LOG_0000100,CUST_00003,2026-01-15,899.9,1.53,21.3,0,0,none
LOG_0000101,CUST_00003,2026-02-04,997.1,0.48,21.5,0,0,none
LOG_0000102,CUST_00003,2026-01-07,856.5,1.49,31.2,0,0,none
LOG_0000103,CUST_00003,2026-01-10,998.3,1.58,29.6,0,0,none
LOG_0000104,CUST_00003,2026-02-24,868.9,3.7,269.0,0,0,high_latency
LOG_0000105,CUST_00003,2026-01-01,852.3,0.29,36.1,0,0,none
LOG_0000106,CUST_00003,2026-02-19,920.4,1.94,20.2,0,0,none
LOG_0000107,CUST_00003,2025-12-07,862.0,0.66,30.2,0,0,none
LOG_0000108,CUST_00003,2026-01-19,944.0,1.77,24.6,0,0,none
LOG_0000109,CUST_00003,2025-12-11,860.3,1.26,37.6,0,0,none
LOG_0000110,CUST_00003,2026-02-17,915.1,0.2,29.0,0,0,none
LOG_0000111,CUST_00003,2026-01-03,875.0,0.6,10.9,0,0,none
LOG_0000112,CUST_00003,2026-02-21,894.0,0.75,14.4,0,0,none
LOG_0000113,CUST_00003,2025-12-18,952.3,0.36,15.3,0,0,none
LOG_0000114,CUST_00003,2026-01-11,338.3,0.48,55.2,0,0,slow_speed
LOG_0000115,CUST_00003,2026-01-27,950.0,1.8,24.0,0,0,none
LOG_0000116,CUST_00003,2025-12-21,873.7,0.88,20.4,0,0,none
LOG_0000117,CUST_00003,2025-12-09,994.3,1.38,23.7,0,0,none
