ticket_id,customer_id,timestamp_created,timestamp_closed,subject,description,category,priority,channel,status,solved_in_hours,related_log_id,technical_issue_type
TKT_000001,CUST_00001,2026-01-12 08:00:00,2026-01-12 09:00:00,Technical Issue - Slow Speed,"Streaming keeps buffering, internet speed is insufficient",technical,high,phone,closed,1,LOG_0000003,slow_speed
TKT_000002,CUST_00001,2026-02-23 09:00:00,2026-02-24 07:00:00,Technical Issue - Connection Drops,Internet keeps disconnecting every few minutes,technical,high,phone,closed,22,LOG_0000004,connection_drops
TKT_000003,CUST_00001,2026-01-07 09:00:00,2026-01-07 16:00:00,Technical Issue - Packet Loss,"Data is getting lost, packet loss is very high",technical,high,chat,closed,7,LOG_0000005,packet_loss
TKT_000004,CUST_00001,2026-02-06 08:00:00,2026-02-06 17:00:00,Technical Issue - Slow Speed,"Internet is extremely slow, only getting 479 Mbps instead of 1000 Mbps",technical,medium,chat,closed,9,LOG_0000006,slow_speed
TKT_000005,CUST_00001,2026-02-24 11:00:00,2026-02-25 17:00:00,Technical Issue - Packet Loss,Unstable connection with frequent data loss,technical,medium,web_form,closed,30,LOG_0000012,packet_loss
TKT_000006,CUST_00001,2025-12-11 10:00:00,2025-12-11 13:00:00,Technical Issue - High Latency,"Video conferences are choppy, high latency issues",technical,high,chat,closed,3,LOG_0000016,high_latency
TKT_000007,CUST_00001,2026-01-23 00:00:00,2026-01-24 13:00:00,Technical Issue - Packet Loss,"Data is getting lost, packet loss is very high",technical,medium,email,closed,37,LOG_0000019,packet_loss
TKT_000008,CUST_00001,2026-01-29 06:00:00,2026-01-30 06:00:00,Technical Issue - High Latency,"Response time is awful, everything is delayed",technical,medium,web_form,closed,24,LOG_0000022,high_latency
TKT_000009,CUST_00001,2026-01-29 05:00:00,2026-01-30 19:00:00,Technical Issue - High Latency,"Response time is awful, everything is delayed",technical,medium,phone,closed,38,LOG_0000031,high_latency
TKT_000010,CUST_00001,2026-02-11 07:00:00,2026-02-13 01:00:00,Technical Issue - Packet Loss,"Connection quality is terrible, lots of packet loss",technical,medium,email,closed,42,LOG_0000032,packet_loss
TKT_000011,CUST_00001,2025-12-28 08:00:00,2025-12-30 00:00:00,Technical Issue - Slow Speed,"Streaming keeps buffering, internet speed is insufficient",technical,high,chat,closed,40,LOG_0000037,slow_speed
TKT_000012,CUST_00001,2025-11-30 00:00:00,2025-11-30 13:00:00,Service Change,Want to upgrade to faster plan,service_change,medium,chat,closed,13,,
TKT_000013,CUST_00001,2026-02-20 00:00:00,2026-02-20 10:00:00,Service Change,Want to upgrade to faster plan,service_change,medium,chat,closed,10,,
TKT_000014,CUST_00002,2025-12-07 07:00:00,2025-12-12 05:00:00,Technical Issue - Slow Speed,"Pages are loading very slowly, speed is way below what was promised",technical,urgent,chat,closed,118,LOG_0000043,slow_speed
TKT_000015,CUST_00002,2026-02-03 06:00:00,2026-02-04 23:00:00,Technical Issue - High Latency,"Video conferences are choppy, high latency issues",technical,medium,web_form,closed,41,LOG_0000048,high_latency
TKT_000016,CUST_00002,2025-12-14 00:00:00,2025-12-15 23:00:00,Technical Issue - Connection Drops,Internet keeps disconnecting every few minutes,technical,medium,phone,closed,47,LOG_0000049,connection_drops
TKT_000017,CUST_00002,2026-02-20 09:00:00,2026-02-25 03:00:00,Technical Issue - Outage,"No connection whatsoever, lights on router are red",technical,high,chat,closed,114,LOG_0000070,outage
TKT_000018,CUST_00003,2026-01-30 07:00:00,2026-01-31 18:00:00,Technical Issue - Slow Speed,"Pages are loading very slowly, speed is way below what was promised",technical,high,web_form,closed,35,LOG_0000077,slow_speed
TKT_000019,CUST_00003,2025-12-10 08:00:00,2025-12-11 05:00:00,Technical Issue - Packet Loss,Unstable connection with frequent data loss,technical,medium,web_form,closed,21,LOG_0000078,packet_loss
TKT_000020,CUST_00003,2026-01-08 09:00:00,2026-01-08 19:00:00,Technical Issue - Connection Drops,"Connection drops constantly, can't stay online",technical,high,chat,closed,10,LOG_0000081,connection_drops
TKT_000021,CUST_00003,2026-02-17 08:00:00,2026-02-17 19:00:00,Technical Issue - Connection Drops,"Connection drops constantly, can't stay online",technical,high,email,closed,11,LOG_0000086,connection_drops
TKT_000022,CUST_00003,2025-12-10 04:00:00,2025-12-14 18:00:00,Technical Issue - Slow Speed,"Pages are loading very slowly, speed is way below what was promised",technical,urgent,web_form,closed,110,LOG_0000091,slow_speed
TKT_000023,CUST_00003,2026-02-24 08:00:00,2026-02-26 00:00:00,Technical Issue - High Latency,"Video conferences are choppy, high latency issues",technical,medium,web_form,closed,40,LOG_0000104,high_latency
TKT_000024,CUST_00003,2026-01-11 08:00:00,2026-01-12 00:00:00,Technical Issue - Slow Speed,"Internet is extremely slow, only getting 338 Mbps instead of 1000 Mbps",technical,high,web_form,closed,16,LOG_0000114,slow_speed
TKT_000025,CUST_00003,2026-02-22 00:00:00,2026-02-22 07:00:00,Service Change,"Moving to new address, how to transfer service?",service_change,low,email,closed,7,,
TKT_000026,CUST_00003,2025-09-05 00:00:00,2025-09-05 02:00:00,Sales,What promotions do you currently have?,sales,medium,chat,closed,2,,
TKT_000027,CUST_00003,2025-10-24 00:00:00,2025-10-24 01:00:00,Service Change,"Moving to new address, how to transfer service?",service_change,low,web_form,closed,1,,
TKT_000028,CUST_00004,2025-12-04 03:00:00,2025-12-08 13:00:00,Technical Issue - Slow Speed,Speed test shows terrible results - 11 Mbps when I'm paying for 50 Mbps,technical,high,web_form,closed,106,LOG_0000123,slow_speed
TKT_000029,CUST_00004,2025-12-09 06:00:00,2025-12-12 12:00:00,Technical Issue - Outage,"Complete outage for 173 minutes, no internet at all",technical,urgent,email,closed,78,LOG_0000132,outage
TKT_000030,CUST_00004,2026-01-21 03:00:00,2026-01-21 04:00:00,Technical Issue - Slow Speed,"Pages are loading very slowly, speed is way below what was promised",technical,high,web_form,closed,1,LOG_0000134,slow_speed
TKT_000031,CUST_00004,2026-02-06 04:00:00,2026-02-10 04:00:00,Technical Issue - Outage,Internet has been down for over an hour,technical,urgent,phone,closed,96,LOG_0000147,outage
TKT_000032,CUST_00004,2026-01-05 10:00:00,2026-01-07 18:00:00,Technical Issue - Slow Speed,Speed test shows terrible results - 11 Mbps when I'm paying for 50 Mbps,technical,urgent,phone,closed,56,LOG_0000151,slow_speed
TKT_000033,CUST_00004,2025-10-10 00:00:00,2025-10-10 02:00:00,Billing,Need explanation for additional fees on bill,billing,medium,phone,closed,2,,
TKT_000034,CUST_00005,2026-02-01 05:00:00,2026-02-03 03:00:00,Technical Issue - Connection Drops,"Connection drops constantly, can't stay online",technical,medium,chat,closed,46,LOG_0000175,connection_drops
TKT_000035,CUST_00005,2026-01-16 09:00:00,2026-01-17 21:00:00,Technical Issue - Connection Drops,"Connection drops constantly, can't stay online",technical,high,chat,closed,36,LOG_0000194,connection_drops
TKT_000036,CUST_00005,2025-12-06 00:00:00,2025-12-06 16:00:00,Technical Issue - High Latency,"Video conferences are choppy, high latency issues",technical,medium,chat,closed,16,LOG_0000198,high_latency
TKT_000037,CUST_00005,2025-09-19 00:00:00,2025-09-19 12:00:00,Service Change,Need to downgrade to save money,service_change,low,email,closed,12,,
TKT_000038,CUST_00006,2026-02-28 08:00:00,2026-03-02 04:00:00,Technical Issue - Slow Speed,"Internet is extremely slow, only getting 96 Mbps instead of 200 Mbps",technical,high,chat,closed,44,LOG_0000220,slow_speed
TKT_000039,CUST_00006,2026-01-05 00:00:00,2026-01-05 07:00:00,Technical Issue - Packet Loss,Unstable connection with frequent data loss,technical,high,phone,closed,7,LOG_0000221,packet_loss
TKT_000040,CUST_00006,2026-01-13 00:00:00,2026-01-14 15:00:00,Technical Issue - Packet Loss,"Connection quality is terrible, lots of packet loss",technical,high,chat,closed,39,LOG_0000242,packet_loss
TKT_000041,CUST_00006,2026-01-09 12:00:00,2026-01-10 03:00:00,Technical Issue - Slow Speed,"Internet is extremely slow, only getting 51 Mbps instead of 200 Mbps",technical,high,email,closed,15,LOG_0000246,slow_speed
TKT_000042,CUST_00006,2025-12-12 02:00:00,2025-12-12 03:00:00,Technical Issue - Packet Loss,"Connection quality is terrible, lots of packet loss",technical,medium,web_form,closed,1,LOG_0000248,packet_loss
TKT_000043,CUST_00006,2026-02-16 00:00:00,2026-02-16 06:00:00,Service Change,Need to downgrade to save money,service_change,low,web_form,closed,6,,
TKT_000044,CUST_00006,2026-02-06 00:00:00,2026-02-07 17:00:00,Billing,Why did my bill increase without notice?,billing,medium,phone,closed,41,,
TKT_000045,CUST_00007,2025-12-29 07:00:00,2025-12-30 13:00:00,Technical Issue - Slow Speed,"Internet is extremely slow, only getting 491 Mbps instead of 1000 Mbps",technical,high,email,closed,30,LOG_0000255,slow_speed
TKT_000046,CUST_00007,2025-12-20 06:00:00,2025-12-21 06:00:00,Technical Issue - High Latency,"Response time is awful, everything is delayed",technical,high,email,closed,24,LOG_0000278,high_latency
