PLZ,Bundesland
01001,Sachsen
01002,Sachsen
01003,Sachsen
01004,Sachsen
01005,Sachsen
01006,Sachsen
01007,Sachsen
01008,Sachsen
01009,Sachsen
01010,Sachsen
01011,Sachsen
01012,Sachsen
01013,Sachsen
01014,Sachsen
01015,Sachsen
01016,Sachsen
01017,Sachsen
01018,Sachsen
01019,Sachsen
01020,Sachsen
01021,Sachsen
01022,Sachsen
01023,Sachsen
01024,Sachsen
01025,Sachsen
01026,Sachsen
01027,Sachsen
01028,Sachsen
01029,Sachsen
01030,Sachsen
01031,Sachsen
01032,Sachsen
01033,Sachsen
01034,Sachsen
01035,Sachsen
01036,Sachsen
01037,Sachsen
01038,Sachsen
01039,Sachsen
01040,Sachsen
01041,Sachsen
01042,Sachsen
01043,Sachsen
01044,Sachsen
01045,Sachsen
01046,Sachsen
01047,Sachsen
01048,Sachsen
01049,Sachsen
01050,Sachsen
01051,Sachsen
01052,Sachsen
01053,Sachsen
01054,Sachsen
01055,Sachsen
01056,Sachsen
01057,Sachsen
01058,Sachsen
01059,Sachsen
01060,Sachsen
01061,Sachsen
01062,Sachsen
01063,Sachsen
01064,Sachsen
01065,Sachsen
01066,Sachsen
01067,Sachsen
01068,Sachsen
01069,Sachsen
01070,Sachsen
01071,Sachsen
01072,Sachsen
01073,Sachsen
01074,Sachsen
01075,Sachsen
01076,Sachsen
01077,Sachsen
01078,Sachsen
01079,Sachsen
01080,Sachsen
01081,Sachsen
01082,Sachsen
01083,Sachsen
01084,Sachsen
01085,Sachsen
01086,Sachsen
01087,Sachsen
01088,Sachsen
01089,Sachsen
01090,Sachsen
01091,Sachsen
01092,Sachsen
01093,Sachsen
01094,Sachsen
01095,Sachsen
01096,Sachsen
01097,Sachsen
01098,Sachsen
01099,Sachsen
01100,Sachsen
01101,Sachsen
01102,Sachsen
01103,Sachsen
01104,Sachsen
01105,Sachsen
01106,Sachsen
01107,Sachsen
01108,Sachsen
01109,Sachsen
01110,Sachsen
01111,Sachsen
01112,Sachsen
01113,Sachsen
01114,Sachsen
01115,Sachsen
01116,Sachsen
01117,Sachsen
01118,Sachsen
01119,Sachsen
01120,Sachsen
01121,Sachsen
01122,Sachsen
01123,Sachsen
01124,Sachsen
01125,Sachsen
01126,Sachsen
01127,Sachsen
01128,Sachsen
01129,Sachsen
01130,Sachsen
01131,Sachsen
01132,Sachsen
01133,Sachsen
01134,Sachsen
01135,Sachsen
01136,Sachsen
01137,Sachsen
01138,Sachsen
01139,Sachsen
01140,Sachsen
01141,Sachsen
01142,Sachsen
01143,Sachsen
01144,Sachsen
01145,Sachsen
01146,Sachsen
01147,Sachsen
01148,Sachsen
01149,Sachsen
01150,Sachsen
01151,Sachsen
01152,Sachsen
01153,Sachsen
01154,Sachsen
01155,Sachsen
01156,Sachsen
01157,Sachsen
01158,Sachsen
01159,Sachsen
01160,Sachsen
01161,Sachsen
01162,Sachsen
01163,Sachsen
01164,Sachsen
01165,Sachsen
01166,Sachsen
01167,Sachsen
01168,Sachsen
01169,Sachsen
01170,Sachsen
01171,Sachsen
01172,Sachsen
01173,Sachsen
01174,Sachsen
01175,Sachsen
01176,Sachsen
01177,Sachsen
01178,Sachsen
01179,Sachsen
01180,Sachsen
01181,Sachsen
01182,Sachsen
01183,Sachsen
01184,Sachsen
01185,Sachsen
01186,Sachsen
01187,Sachsen
01188,Sachsen
01189,Sachsen
01190,Sachsen
01191,Sachsen
01192,Sachsen
01193,Sachsen
01194,Sachsen
01195,Sachsen
01196,Sachsen
01197,Sachsen
01198,Sachsen
01199,Sachsen
01200,Sachsen
