timestamp,issue_detected,customer_id,speed_measured_mbps,packet_loss_percent,latency_ms,downtime_minutes,connection_drops_count
2025-12-09 06:41:19,none,CUST_00001,198.7,0.97,34.1,0,0
2026-01-20 09:55:16,error: high_latency,CUST_00001,171.8,5.19,221.3,0,0
2026-01-18 00:04:38,none,CUST_00001,199.3,0.26,21.1,0,0
2026-01-18 16:30:53,error: connection_drops,CUST_00001,178.0,17.96,12.9,0,17
2026-01-05 16:04:03,error: packet_loss,CUST_00001,174.8,25.26,104.8,0,0
2025-12-24 09:28:04,none,CUST_00001,179.3,0.05,38.4,0,0
2026-01-28 17:22:38,none,CUST_00001,171.5,0.56,27.9,0,0
2025-12-03 08:41:26,error: connection_drops,CUST_00001,170.2,16.46,14.0,0,16
2026-01-12 22:34:57,error: high_latency,CUST_00001,187.1,8.35,200.9,0,0
2026-01-23 04:16:21,none,CUST_00001,173.6,1.95,21.8,0,0
2026-01-15 06:36:12,error: connection_drops,CUST_00001,174.3,7.06,22.0,0,6
2026-01-16 08:26:31,none,CUST_00001,174.5,1.79,14.2,0,0
2026-01-18 18:34:21,none,CUST_00001,192.2,0.6,20.1,0,0
2025-12-21 08:14:24,none,CUST_00001,179.0,1.63,21.1,0,0
2026-01-05 05:40:10,none,CUST_00001,197.0,1.74,28.9,0,0
2026-01-25 03:09:11,none,CUST_00001,187.4,0.46,11.5,0,0
2025-12-22 03:13:21,error: packet_loss,CUST_00001,193.2,21.45,123.0,0,0
2026-02-03 23:31:40,none,CUST_00001,182.6,0.83,16.1,0,0
2025-12-11 08:04:06,error: connection_drops,CUST_00001,192.1,19.97,14.1,0,15
2025-12-28 07:35:40,none,CUST_00001,198.7,0.92,26.0,0,0
2025-12-03 00:16:19,none,CUST_00001,194.1,0.53,24.5,0,0
2026-01-23 06:40:46,none,CUST_00001,198.2,1.96,33.1,0,0
2025-12-01 01:28:40,none,CUST_00001,184.4,1.12,38.0,0,0
2026-01-22 20:23:17,error: connection_drops,CUST_00001,186.3,9.36,21.8,0,9
2026-01-22 01:54:38,error: high_latency,CUST_00001,197.7,4.9,265.6,0,0
2025-12-18 01:42:52,error: high_latency,CUST_00001,173.3,4.58,281.0,0,0
2026-01-29 22:53:34,error: slow_speed,CUST_00001,97.9,0.94,98.7,0,0
2026-02-07 10:18:01,none,CUST_00001,196.4,0.95,29.5,0,0
2026-01-22 13:41:19,error: high_latency,CUST_00001,171.8,8.95,247.7,0,0
2026-02-23 18:33:04,none,CUST_00001,195.1,1.87,11.1,0,0
2025-12-26 18:00:13,error: outage,CUST_00001,0.0,1.85,36.3,175,48
2026-02-14 13:41:31,none,CUST_00001,199.7,1.09,24.8,0,0
2025-12-25 09:42:48,none,CUST_00001,194.3,0.66,31.9,0,0
2026-02-04 23:12:39,error: packet_loss,CUST_00001,193.7,27.12,140.7,0,0
2026-01-04 07:39:55,none,CUST_00001,182.0,0.19,39.5,0,0
2026-01-27 23:43:36,none,CUST_00002,885.3,1.51,38.6,0,0
2025-12-16 23:43:19,none,CUST_00002,903.9,0.47,30.0,0,0
2026-02-07 11:16:28,none,CUST_00002,988.5,1.78,33.1,0,0
2025-12-08 14:36:21,none,CUST_00002,883.1,1.91,24.3,0,0
2025-12-12 12:33:16,none,CUST_00002,932.4,0.94,26.1,0,0
2026-01-31 16:16:12,none,CUST_00002,939.4,1.57,25.8,0,0
2026-01-12 21:01:24,none,CUST_00002,866.8,1.66,37.1,0,0
2025-12-21 19:49:40,none,CUST_00002,978.2,0.88,30.4,0,0
2025-12-27 21:02:28,none,CUST_00002,916.8,0.11,14.0,0,0
2025-12-17 22:24:31,none,CUST_00002,950.9,0.62,10.7,0,0
2026-02-27 00:46:23,none,CUST_00002,861.0,0.85,31.0,0,0
2026-02-20 21:00:30,none,CUST_00002,854.8,0.82,33.1,0,0
2025-12-07 10:36:03,none,CUST_00002,907.4,1.74,37.2,0,0
2025-12-02 02:04:26,none,CUST_00002,869.9,1.72,13.6,0,0
2026-01-08 07:51:14,none,CUST_00002,996.8,1.67,32.7,0,0
2025-12-30 02:13:26,none,CUST_00002,913.6,0.76,16.9,0,0
2026-02-08 15:47:01,none,CUST_00002,981.3,1.53,11.0,0,0
2025-12-11 23:44:47,none,CUST_00002,860.1,1.19,23.4,0,0
2026-02-21 16:12:58,none,CUST_00002,910.3,0.47,16.5,0,0
2026-02-20 19:27:42,none,CUST_00002,885.1,1.83,27.3,0,0
2025-12-03 13:44:41,none,CUST_00002,981.4,1.97,25.6,0,0
2026-01-23 22:24:23,none,CUST_00002,982.0,1.82,28.8,0,0
2025-12-26 22:37:19,none,CUST_00002,950.7,1.57,19.6,0,0
2026-02-08 14:35:49,none,CUST_00002,963.2,0.95,35.5,0,0
2026-02-09 09:01:57,error: high_latency,CUST_00002,934.4,4.42,148.6,0,0
2025-12-07 21:00:32,none,CUST_00002,977.1,0.18,31.7,0,0
2026-01-24 11:16:22,none,CUST_00002,940.4,1.75,15.6,0,0
2025-12-04 06:46:30,none,CUST_00002,881.3,1.81,19.1,0,0
2026-01-31 17:12:53,none,CUST_00002,962.0,1.51,37.4,0,0
2026-02-01 11:01:45,none,CUST_00002,932.8,1.55,21.4,0,0
2026-01-13 14:43:37,none,CUST_00002,926.9,0.99,13.0,0,0
2025-12-29 13:01:47,none,CUST_00002,905.6,0.83,26.9,0,0
2026-02-09 23:43:25,none,CUST_00002,990.2,1.16,22.5,0,0
2026-01-16 16:35:24,none,CUST_00002,975.0,1.0,29.6,0,0
2026-01-26 08:13:19,none,CUST_00002,960.9,0.92,32.0,0,0
2026-02-10 00:25:29,none,CUST_00002,877.6,1.78,39.7,0,0
2025-12-22 22:06:06,error: connection_drops,CUST_00002,861.1,17.64,11.5,0,9
2026-01-29 21:14:51,none,CUST_00002,851.4,1.01,21.2,0,0
2025-12-04 04:01:30,none,CUST_00002,948.9,0.03,26.0,0,0
2026-02-25 07:13:43,none,CUST_00002,930.4,0.57,25.1,0,0
2026-01-03 18:53:02,none,CUST_00002,864.4,0.3,15.8,0,0
2026-01-13 15:09:35,none,CUST_00002,861.9,1.92,23.8,0,0
2025-11-30 16:40:17,none,CUST_00002,974.2,0.16,39.8,0,0
2026-02-23 21:34:36,none,CUST_00002,906.6,0.95,29.1,0,0
2026-02-17 08:05:33,none,CUST_00002,946.7,0.66,39.3,0,0
2025-12-22 22:45:47,none,CUST_00002,985.2,1.38,27.0,0,0
2026-02-18 02:00:43,none,CUST_00002,984.9,1.13,11.0,0,0
2026-01-18 23:46:23,none,CUST_00002,871.6,1.64,34.6,0,0
2026-01-20 18:23:45,none,CUST_00002,935.0,1.7,30.3,0,0
2026-02-10 01:13:55,none,CUST_00003,185.0,1.95,11.6,0,0
2026-02-18 13:21:11,error: slow_speed,CUST_00003,78.0,1.19,87.0,0,0
2026-01-01 08:45:38,none,CUST_00003,186.6,0.75,15.6,0,0
2026-01-10 21:10:21,error: packet_loss,CUST_00003,178.9,17.6,130.6,0,0
2026-02-08 00:35:40,none,CUST_00003,180.8,0.18,38.3,0,0
2026-01-24 20:51:55,none,CUST_00003,175.6,0.9,26.6,0,0
2026-02-24 21:37:25,none,CUST_00003,172.8,1.2,19.7,0,0
2026-01-21 10:35:11,none,CUST_00003,172.5,1.8,37.2,0,0
2025-12-16 07:49:17,none,CUST_00003,181.4,0.28,19.0,0,0
2026-02-19 18:32:43,error: packet_loss,CUST_00003,182.6,14.93,116.3,0,0
2025-12-13 04:47:31,error: slow_speed,CUST_00003,77.2,0.61,88.2,0,0
2026-01-16 09:38:33,error: slow_speed,CUST_00003,59.2,1.72,96.8,0,0
2026-02-02 08:39:49,none,CUST_00003,198.9,1.94,18.7,0,0
2025-12-27 05:09:45,none,CUST_00003,179.8,0.56,33.6,0,0
2025-12-17 17:22:26,none,CUST_00003,175.4,1.54,10.8,0,0
2026-02-01 09:08:42,none,CUST_00003,194.9,0.14,35.4,0,0
2025-12-03 08:51:20,none,CUST_00003,179.1,0.51,14.6,0,0
2026-01-10 21:31:22,none,CUST_00003,184.4,0.8,25.2,0,0
2025-12-01 10:25:58,none,CUST_00003,193.7,0.72,36.9,0,0
2025-12-08 21:53:11,none,CUST_00003,177.4,1.33,15.0,0,0
2025-12-17 03:16:19,none,CUST_00003,182.0,1.51,39.0,0,0
2026-02-26 20:43:46,none,CUST_00003,185.3,1.04,27.4,0,0
2026-01-01 12:34:31,error: outage,CUST_00003,0.0,1.18,25.0,36,40
2026-02-14 14:33:02,error: connection_drops,CUST_00003,198.9,10.15,38.2,0,14
2026-02-01 07:29:38,error: connection_drops,CUST_00003,184.3,5.67,30.9,0,14
2026-02-13 23:05:39,none,CUST_00003,189.4,1.35,14.9,0,0
2026-01-27 07:48:25,error: slow_speed,CUST_00003,64.3,1.12,51.1,0,0
2025-12-08 02:32:35,none,CUST_00003,170.9,1.23,15.9,0,0
2026-01-09 23:14:47,error: slow_speed,CUST_00003,46.1,1.5,92.3,0,0
2026-02-04 12:39:48,none,CUST_00003,183.7,0.52,35.9,0,0
2025-12-08 13:21:36,none,CUST_00003,188.3,1.17,20.4,0,0
2025-12-10 18:07:17,error: connection_drops,CUST_00003,191.2,9.7,28.4,0,9
2026-01-19 20:48:37,error: outage,CUST_00004,0.0,1.02,22.5,128,37
2026-02-04 08:19:26,none,CUST_00004,190.8,1.29,40.0,0,0
2025-12-27 14:51:49,none,CUST_00004,179.4,0.9,11.6,0,0
2026-02-26 08:51:48,none,CUST_00004,194.5,1.93,25.2,0,0
2025-12-02 08:33:15,error: connection_drops,CUST_00004,195.2,9.38,12.5,0,12
2026-01-23 16:25:42,none,CUST_00004,175.0,0.91,32.3,0,0
2025-12-19 07:52:24,none,CUST_00004,173.4,1.55,34.7,0,0
2026-02-22 00:31:26,none,CUST_00004,176.6,0.85,32.1,0,0
2026-01-27 14:04:58,none,CUST_00004,183.5,0.7,34.5,0,0
2026-02-12 16:46:09,none,CUST_00004,192.1,1.38,35.8,0,0
2026-01-04 18:20:52,none,CUST_00004,193.5,1.63,34.2,0,0
2025-12-21 15:21:26,none,CUST_00004,175.1,1.96,18.8,0,0
2025-12-24 02:07:54,error: connection_drops,CUST_00004,174.1,18.01,22.3,0,13
2026-02-11 01:04:52,none,CUST_00004,177.5,1.42,34.9,0,0
2025-12-03 11:28:51,none,CUST_00004,187.3,0.54,22.4,0,0
